ID,Head_zoom,Head_micrometer_units,Head_width (mm),Length (mm)
13F,4.5,90,2.00,14
20F,4.5,81,1.80,12
05F,4.5,82,1.82,11.5
08F,4.5,68,1.51,9.5
17F,4.5,89,1.98,13.5
14F,4.5,37,0.82,4
15F,4.5,40,0.89,4.5
96E,4.5,78,1.73,10.5
94E,4.5,77,1.71,10
09F,4.5,97,2.16,12
97E,4.5,82,1.82,11
06F,4.5,37,0.82,4
84E,4.5,37,0.82,4.5
10F,3.5,97,2.77,17.5
91E,4.5,60,1.33,7.5
12F,4.5,85,1.89,12
98E,4.5,73,1.62,10
16F,4,91,2.28,12
100E,4.5,84,1.87,12
90E,4.5,76,1.69,10
02F,4.5,93,2.07,12.5
04F,4.5,73,1.62,10.5
89E,4.5,86,1.91,11.5
95E,4.5,39,0.87,4.5
11F,3.5,91,2.60,15
07F,4.5,82,1.82,10.5
86E,4,96,2.40,16
01F,4.5,80,1.78,11
82E,4,92,2.30,13
93E,4.5,89,1.98,10.5
92E,4.5,78,1.73,11
88E,4.5,82,1.82,12.5
81E,3.5,94,2.69,18
85E,4.5,37,0.82,5
18F,4.5,35,0.78,3.5
