TEMP,TRTMENT,TANK,ID#,28-Jul,10-Aug,24-Aug,8-Sep,21-Sep,5-Oct,19-Oct,2-Nov,16-Nov,30-Nov,14-Dec,28-Dec
16,1000,16,81F,2.111,2.067,2.088888889,2.088888889,2.3,2.325,2.325,2.657142857,2.685714286,2.657142857,2.657142857,3
16,1000,16,39G,2.133,2.133,2.133333333,2.155555556,2.133333333,2.275,2.35,2.325,2.542857143,2.542857143,2.571428571,2.542857143
16,1000,16,12G,1.489,1.489,1.6,1.6,1.622222222,1.6,1.844444444,1.977777778,2.088888889,2.066666667,2.066666667,2.044444444
16,1000,16,28A,2.089,2.200,2.2,2.2,2.177777778,2.628571429,2.514285714,2.542857143,2.514285714,2.485714286,2.9,2.9
16,1000,16,40G,1.800,1.800,1.822222222,1.822222222,1.822222222,1.844444444,2.044444444,2.066666667,2.066666667,2.044444444,2.3,2.35
16,1000,16,83B,1.778,1.756,1.777777778,1.777777778,1.977777778,1.933333333,1.955555556,2.022222222,2.3,2.022222222,2.275,2.6
16,1000,16,87D,1.867,1.889,1.888888889,1.933333333,2.133333333,2.111111111,2.133333333,2.425,2.4,2.4,2.771428571,2.771428571
16,1000,16,01C,1.956,1.689,1.822222222,1.777777778,1.8,1.777777778,2.022222222,2.022222222,2.35,2.325,2.325,2.325
16,1000,16,10C,2.111,2.089,2.325,2.325,2.275,2.375,2.314285714,2.714285714,3.066666667,3.033333333,3.066666667,3.066666667
16,0,17,69C,1.778,1.800,1.8,1.822222222,2,2.044444444,2,2.275,2.325,2.3,2.571428571,2.6
16,0,17,39E,1.600,1.533,1.577777778,1.555555556,1.711111111,1.711111111,1.711111111,1.888888889,1.888888889,1.866666667,2.2,2.155555556
16,0,17,07D,2.225,2.200,2.325,2.222222222,2.222222222,2.3,2.275,,,,,
16,0,17,59F,1.733,1.822,1.888888889,1.822222222,1.844444444,1.822222222,1.955555556,1.933333333,1.933333333,2.2,2.222222222,2.222222222
16,0,17,10A,2.000,1.978,2.2,2.177777778,2.177777778,2.222222222,2.2,2.425,2.5,2.45,2.742857143,2.828571429
16,0,17,11D,1.867,1.844,1.866666667,1.822222222,1.844444444,2.044444444,2.044444444,2.044444444,2.275,2.275,2.25,2.657142857
16,0,17,81B,1.822,1.800,1.866666667,1.8,1.977777778,1.977777778,1.977777778,2.2,2.125,2.25,2.514285714,2.571428571
16,0,17,81A,2.000,2.178,2.3,2.222222222,2.25,2.475,2.45,2.425,2.5,2.45,2.4,2.8
16,0,17,16C,1.844,1.844,1.866666667,,,,,,,,,
16,0,17,63F,1.956,1.933,1.955555556,1.911111111,1.933333333,1.955555556,2.155555556,2.155555556,2.155555556,2.45,2.45,2.425
16,400,18,69D,2.111,2.089,2.066666667,2.088888889,2.066666667,2.111111111,2.425,2.45,2.45,2.657142857,2.685714286,2.714285714
16,400,18,46C,2.156,2.133,2.088888889,2.088888889,2.35,2.375,2.375,2.771428571,2.771428571,2.742857143,3.233333333,3.2
16,400,18,23F,1.778,1.844,1.777777778,1.777777778,1.777777778,1.977777778,1.955555556,1.955555556,2.3,2.022222222,2.3,2.6
16,400,18,99C,1.911,1.889,1.822222222,1.977777778,2,2,2.275,2.25,2.222222222,2.571428571,2.542857143,2.571428571
16,400,18,86F,2.111,2.089,2.022222222,2,2.044444444,2.2,2.2,2.222222222,2.542857143,2.475,2.475,2.8
16,400,18,32D,1.578,1.556,1.555555556,1.777777778,1.8,1.8,2.066666667,2.088888889,2.088888889,2.4,2.4,2.35
16,400,18,13F,2.111,2.044,2.2,2.2,2.2,2.222222222,2.571428571,2.6,2.628571429,2.933333333,2.857142857,2.966666667
